Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Output1
0.0,-2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-2.0,1.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,-2.0,0.0,0.5
0.0,-4.0,1.0,0.0,1.0,1.0,0.3333333333333333,9.0,0.0,-1.3333333333333333,0.0,1.0
3.0,-5.0,4.0,3.0,1.0,3.0,1.0,7.0,0.75,-1.25,1.0,0.0
4.0,-7.0,4.0,3.0,1.0,0.0,0.8,5.0,0.8,-1.4,0.0,1.0
5.0,-7.0,7.0,6.0,1.0,3.0,1.1666666666666667,3.0,0.8333333333333334,-1.1666666666666667,1.0,0.0
5.0,-9.0,7.0,6.0,1.0,0.0,1.1666666666666667,1.0,0.8333333333333334,-1.1666666666666667,0.0,0.5
6.0,-10.0,8.0,7.0,1.0,1.0,1.3333333333333333,7.0,1.0,-1.0,1.0,1.0
9.0,-10.0,11.0,7.0,4.0,3.0,1.6666666666666667,6.0,1.5,-1.0,0.0,0.5
10.0,-11.0,12.0,8.0,4.0,1.0,1.3333333333333333,4.0,1.1666666666666667,-1.0,1.0,1.0
11.0,-11.0,15.0,8.0,7.0,3.0,1.8333333333333333,4.0,1.1666666666666667,-0.6666666666666666,0.0,0.5
13.0,-13.0,16.0,9.0,7.0,1.0,1.5,4.0,1.3333333333333333,-1.0,1.0,0.0
13.0,-14.0,16.0,9.0,7.0,0.0,1.5,3.0,1.3333333333333333,-0.8333333333333334,0.0,0.5
13.0,-14.0,17.0,10.0,7.0,1.0,1.5,3.0,1.1666666666666667,-0.6666666666666666,1.0,0.0
14.0,-19.0,17.0,10.0,7.0,0.0,1.0,5.0,0.8333333333333334,-1.5,1.0,0.0
14.0,-21.0,17.0,10.0,7.0,0.0,0.8333333333333334,5.0,0.6666666666666666,-1.6666666666666667,0.0,0.0
14.0,-23.0,17.0,10.0,7.0,0.0,0.3333333333333333,4.0,0.5,-2.0,0.0,0.5
14.0,-23.0,18.0,11.0,7.0,1.0,0.3333333333333333,4.0,0.16666666666666666,-1.6666666666666667,1.0,1.0
